EpisodeReturn,EpisodeLength,EvalReturn
98.11194729433988,21,252.14798685000375
259.54387007050025,55,476.197287014869
400.5153053528361,79,459.93755127539805
384.02250465217327,90,407.8011429039017
591.6676193773931,112,583.3276128225604
314.97382479030455,73,441.209217004092
821.0302456922502,161,686.1643110410861
558.9236447986394,111,567.3871545288181
314.1759758459797,63,556.7924534090113
439.24035444996224,88,457.73200123705726
546.5466189860201,105,559.6018501381468
931.2392534381527,183,645.60485353744
516.7346641978371,100,588.6909723580596
786.1754756141988,153,578.9623416685478
928.6993065352785,185,659.4371199155624
806.4238579163084,156,607.974202535994
808.3586993384135,157,702.2873259050955
928.9951295909636,180,840.3028599787527
1045.6993641438037,204,748.9663668633938
1087.2210050216765,208,794.1244939824084
728.8111345653226,140,575.5355339616774
962.4874436574648,187,778.9259099576486
1627.8520180858377,317,820.3175833295147
844.0747954556407,162,613.9671191341679
1285.9360870284638,252,1632.4425547906771
1814.286999163003,368,965.0190422635576
4292.637368587986,874,1073.233052582821
1504.3587099503015,297,946.673717326738
1175.1665520409447,243,2660.914432181202
3936.811532599841,768,836.4939100613577
1822.3244414462138,365,2162.2519306387253
2308.6590595302996,460,2867.623861456116
888.8503401436357,173,3708.337036489838
5064.165714863653,1000,3045.1640941912437
5108.141310706651,1000,4431.166319232687
5076.211409698911,1000,1848.9643210905601
5141.252256452823,1000,4864.91856940923
5161.338869407906,1000,4214.74225679041
1441.4410578192983,302,4533.499376395966
5194.161205108222,1000,3828.238363479686
3498.3359988550237,687,5217.571757705618
4024.199872054916,789,5229.817149246342
5166.800276116614,1000,5229.028890804688
5191.124364538347,1000,4090.040981982951
5170.229814940989,1000,5199.265167948844
5140.009737838228,1000,3564.7012942990136
5176.487262049453,1000,5289.139491001774
5212.633150708077,1000,5024.500266725086
5196.60371560301,1000,4064.404208439794
5183.485253219051,1000,5178.69084050564
5194.518996504059,1000,5277.040358272077
5176.045079520592,1000,2657.4847836240106
5270.456181730821,1000,5080.85561438148
5236.222111749409,1000,5265.923636253616
5226.0206817263825,1000,5119.967022342829
5243.200706082668,1000,4471.589776210531
5223.348443838074,1000,4831.831826691828
5197.89815248433,1000,5078.386569094672
5215.739091847752,1000,5256.613957900894
5237.167530407812,1000,5297.745587599692
5289.45974449318,1000,5351.656953927124
5228.167835381148,1000,2111.786629367747
5250.637167432131,1000,5372.304823141117
5291.474298714511,1000,5328.019020771183
5245.019560155017,1000,5347.985306973492
5224.3829719031655,1000,5282.6552727026665
5234.156883900413,1000,5286.923078914906
5251.138063448208,1000,5347.106483313482
5237.081033592786,1000,4917.6278467526
5180.906309961315,1000,5260.5191317387935
5256.60568296462,1000,5245.459799909729
5227.617648527321,1000,5301.483299469612
5276.80243801142,1000,5315.447328083783
4162.793479451956,796,4920.2123457849875
5225.539827844632,1000,5325.135379058722
5187.8339862429075,1000,4930.189370787326
5322.007996123045,1000,5343.434434851328
5310.399191810753,1000,5343.389103892567
5304.213398495054,1000,5349.5382302629705
5326.383476196077,1000,5373.138623769269
5298.45172690053,1000,5367.189202382209
5302.666402956449,1000,5303.160037618799
5216.318492100186,1000,5328.336128898591
5337.486072506552,1000,5364.252855611454
5258.253425065963,1000,5319.503213243128
5287.1154287723,1000,5296.306229780717
5262.2604349125495,1000,5329.9174262039105
5269.467705175261,1000,5338.556919932342
5247.238891236508,1000,5236.98938271949
5257.797533669018,1000,5179.973081985158
5260.634260767871,1000,4733.261703984104
5215.98020851663,1000,5392.983269960549
5292.344905615679,1000,5288.245687079301
5250.687240509047,1000,5304.033913777234
4899.144499217485,947,5256.27591163826
5273.116856152851,1000,5289.519412169703
5221.080294116574,1000,5345.278878999863
5316.63301304555,1000,5210.370679067508
5283.99698908136,1000,5300.877265671964
5276.934678273594,1000,5314.442032585428
5268.015999725003,1000,5275.119736598411
5298.051397795179,1000,4939.347107840504
5225.833146422668,1000,5253.63383840048
5289.102059553386,1000,5350.304643577283
5228.2849495547935,1000,5261.83172243773
5244.104794056562,1000,5282.724117148722
5255.8400953579285,1000,5291.251590562547
5294.333123709075,1000,5422.752365413757
3324.34250555687,618,5329.859426634649
5268.468509567524,1000,5241.714330929941
5338.814041765583,1000,5372.935929558246
5281.596657194996,1000,5310.376915286043
5279.474230176097,1000,5307.6994462941075
5329.965991917594,1000,5224.275159568855
5324.668549467881,1000,5360.718440767081
5272.823120035573,1000,5127.465622530582
5334.632477708211,1000,4905.230749388732
5410.4860883589145,1000,5420.979846877186
5269.645356982503,1000,5356.667978278708
5360.283176265997,1000,5142.863610500857
5335.0984497360605,1000,5428.952544362723
5312.984888060956,1000,5298.193372087725
5217.062229993798,1000,4893.76439003763
4592.78983377729,885,5147.143759659424
