EpisodeReturn,EpisodeLength,EvalReturn
139.52825652525487,29,227.74711578443913
318.6858474105991,64,412.31128128423416
342.8104473244116,66,388.9757723867307
405.34930179371554,80,445.9043027335635
393.3226363550208,77,538.8706864682888
457.4226905197173,88,433.41437198469737
868.1035898426301,172,557.1159182755499
473.59910705475016,92,510.00747172029577
527.3007834229597,117,533.0963646322002
637.6326661357276,138,734.564874343462
586.5049184784352,115,813.4070168101412
592.7303178563926,115,562.2087564494424
704.3525903313239,140,686.1653968133891
643.1726075631241,126,838.2950814337291
844.0441328353721,169,967.9632751840227
633.2459651296796,123,964.4802397608307
626.1506134220413,138,910.6161749790697
576.9761394396994,113,1012.9341563346586
1385.1770201677002,272,1405.5860977987882
1276.5585071654257,255,713.4389217469782
945.1878706632256,184,1083.515126431286
876.2935748593843,174,1552.4477289358397
827.2772833959357,160,832.2792285110605
2417.4707515921837,508,1841.7844650756786
1423.881534977499,301,1958.401130451975
1872.7783776388142,398,1315.639540933294
1011.0148254716535,211,1620.7782665343984
1588.8094913739772,328,1563.472177471457
2499.5958738338986,523,3900.0173589257333
4891.46463312746,1000,1971.3251816629086
1263.4710661422914,276,1474.3106870310107
1089.9191508199515,233,1713.504667140672
1885.326164511974,391,4043.7447742749973
1641.3722875498433,355,3520.9091249930802
657.5711797676581,147,2795.6499595628084
1282.3519160167286,272,5011.883252185743
2120.2812480349257,427,2576.305248507783
4904.6473691452065,1000,2073.814112640427
4900.719167778359,1000,1307.897509445207
4891.8584826275255,1000,2288.8453667461176
4862.584672517215,1000,4020.2612122623054
1352.6435235578497,293,4621.3481019079245
5027.812238472439,1000,3726.9658885952676
4896.472062258293,1000,4972.571048117204
622.9838998916462,138,2164.8819677906376
4938.235719662276,1000,4317.212236404097
4922.491758047591,1000,4157.171518548102
4942.331645511128,1000,4960.534596679774
4968.930674953752,1000,4671.359054064139
5007.976600254661,1000,3214.3836069335666
4958.558959173159,1000,3473.788375743813
5090.345823758433,1000,2610.548274667645
5050.918465330992,1000,1483.991192870431
4965.162685449129,1000,4629.736900219828
5042.776378253096,1000,5150.151948226632
4989.956380916119,1000,2890.9113115971295
5094.970017696227,1000,4813.991092867281
5015.590671647626,1000,4907.4422943511
4992.1173676828375,1000,3665.6702343788165
5001.897133600329,1000,5044.317802255388
5074.111089706211,1000,4131.329512185725
5094.681266534634,1000,5100.31347359964
5094.719240289556,1000,2970.398583396655
5111.435995697219,1000,2533.7099448847343
5173.439697001086,1000,5049.84546512435
5068.3671493798665,1000,5173.627060188361
5080.166716885178,1000,3813.7743117657024
5052.910417490599,1000,2381.217143034556
5016.18617202138,1000,3276.1646125852403
5024.612695598327,1000,5139.285169645155
3143.1549897604864,616,4473.141688653087
5171.585125475937,1000,3860.1529300168636
5140.7416906144845,1000,4937.405854242437
5147.4009381101,1000,5212.661255479155
5034.92770421673,1000,5112.973723943223
5169.380941840144,1000,4312.446537557381
5147.815430320411,1000,5161.372783223376
5125.623142343801,1000,5192.022181259938
5157.295691368232,1000,5123.648062579117
5086.392366493974,1000,4554.106266775048
5025.172957825367,1000,4099.81159583583
5038.541100857409,1000,4959.842011191444
5134.8143666454425,1000,4564.099063539545
5083.4627877523235,1000,4124.762850274111
5099.253014175722,1000,2922.727866773502
5092.5599714939235,1000,5077.105969126109
5115.617213550531,1000,5063.181814295722
4535.03793981273,882,2927.997529370453
5079.378557351547,1000,4267.9692998479095
5075.770531718787,1000,4445.724457479069
5026.851879400929,1000,5191.90286657865
5124.243128148548,1000,2561.265986290125
5144.346984422264,1000,5100.256237718439
5095.6360944258995,1000,4685.7696371883385
5195.823222244366,1000,5023.661412517862
5115.503137955774,1000,4816.076168168967
4951.835614444302,1000,5227.526012675049
5093.717933768381,1000,2295.624676996919
4969.5956828198105,1000,5174.723645114149
5146.712512595311,1000,3787.362696797963
5078.210023198998,1000,2101.286863639438
5103.497042791069,1000,5167.359234845725
5162.374466974522,1000,5013.978960697628
5162.086239193851,1000,4951.94576334372
5213.92152683995,1000,5183.2051108698515
5182.556030605759,1000,5238.160854140418
5213.0101441208935,1000,5195.350661381398
5100.003085558769,1000,5292.720476700879
5030.10970363227,1000,5241.828629306094
5186.708822224402,1000,5277.388381085303
5129.710257108621,1000,5052.808636149601
5097.931749105575,1000,5147.664389759436
5148.87090422354,1000,4844.378795414936
2246.937909459156,471,4024.8157601830144
5114.539528552858,1000,4140.370568611072
5135.983927094901,1000,4071.5587873828104
3441.3099329406114,659,5248.826407148275
3149.333506342928,611,5131.601246246355
5214.818473338324,1000,5174.512611971032
5075.254655951361,1000,3804.413584390573
5130.840803560043,1000,3422.074725428915
5238.995138468204,1000,5200.102757910772
5134.42625688226,1000,5095.009995280004
5112.628827179726,1000,3936.3390756287654
5142.211471086028,1000,4839.671172385005
5014.821367010879,1000,4145.453386605248
2500.5618328356404,499,2420.5912644766763
5176.935241217802,1000,5249.76392026963
5217.875708045305,1000,5189.885772431259
5191.304379991913,1000,5202.630204398434
5136.7479369844705,1000,5306.117998137442
5146.577250324215,1000,5181.8946025134255
5178.30970775272,1000,5240.283114781022
5085.78986031685,1000,5284.048767119235
2152.51684561704,440,5138.564436360999
5127.342092773334,1000,5313.74371376937
5072.459855265871,1000,4959.58897555835
5100.845445645762,1000,5144.2683760347845
4964.666236325714,1000,4998.681082133838
5122.847973489429,1000,5258.4851762228545
5125.270262438776,1000,5208.540963966161
5162.879374619166,1000,3707.2368513543065
5154.3942834802565,1000,4243.325881547021
5276.152845358084,1000,1780.421035165403
5203.348357024844,1000,4778.095376137936
5255.995207103332,1000,5048.243756325348
5218.971843949172,1000,5235.247593804239
2887.7677845996814,560,4914.051472129959
5198.565262423254,1000,5251.581359158828
5074.325991901346,1000,5277.9305170170655
5199.808443893814,1000,5358.014265578944
5222.833385108467,1000,5011.959855610516
5233.790527387773,1000,5380.635706419906
5210.476681345809,1000,5281.525838780771
5187.493786796926,1000,5296.057375381555
5242.000040604602,1000,5287.224681880263
5277.538803689131,1000,5266.073969388768
5223.804744472798,1000,4869.4613957967495
5139.281200049296,1000,5228.472431549339
5240.209399963928,1000,5338.182602194078
5149.063920644691,1000,5309.898468110461
5226.166678357008,1000,5338.471721466864
5206.543695175025,1000,5324.978558316263
5343.689156709479,1000,5438.397967072277
5341.771372800918,1000,5433.464639413363
5330.741009425756,1000,5282.552629692046
5213.569488181399,1000,4070.6895602306154
5126.176673545627,1000,5334.243956138222
5231.561867816441,1000,5366.377145288996
5189.745001160607,1000,5337.380653116374
5062.777805346677,1000,5316.268882457584
5150.7775875884045,1000,5244.278214316098
5215.960482057114,1000,5369.10319651522
5157.35649593982,1000,5168.131854221345
5203.000172834431,1000,5368.982003537027
5286.226471611992,1000,5054.384257183786
5175.8048551042675,1000,5418.878881374702
5251.321831808479,1000,5336.644943541155
5294.573588945256,1000,5346.006831552159
5308.756626813022,1000,5337.607994682961
809.6528624616828,178,5413.411678662073
5201.042405577481,1000,5408.369357689425
5222.450401900044,1000,5343.78614782857
5153.982138752676,1000,5308.6949171290935
5271.69963274937,1000,4871.006000855713
5316.052210850797,1000,5386.957232344462
5327.874915004553,1000,5338.332331857904
5233.248118891483,1000,5294.665429085653
5228.723951926192,1000,5442.036684064426
5291.557557775852,1000,5281.854858500634
5264.693745133793,1000,5353.5323843975475
5173.814864500002,1000,5317.028786063887
5320.435954320226,1000,5352.388893205369
5371.660404831158,1000,5462.16748721888
5247.83463510399,1000,5433.777464616354
5311.555440849524,1000,5385.797528305661
5335.138972757791,1000,5404.524578324035
5376.193406690335,1000,5467.116614405469
5352.3351739905465,1000,5416.111944083941
5322.1617144496595,1000,5355.920208162889
