EpisodeReturn,EpisodeLength,EvalReturn
156.91001204484547,34,153.32212042167544
544.2549357882652,110,314.45491196216346
498.5007129262313,98,449.51920746969864
361.97240627795657,70,462.8641882030796
362.428302752531,87,392.2496241089901
409.6268273863109,81,620.1877166791932
609.7681575478233,123,538.1924616729549
412.0409012766917,81,535.9456454915936
659.9256470596351,128,560.593739774298
772.2242394534715,156,663.0811151351828
807.8933027930227,177,622.2400473541277
695.0669788302235,137,753.7549631705417
972.6312519384352,215,775.3222289216486
534.5145104524634,113,849.2808018063135
1893.7082864136125,385,765.8917285301729
750.2337261145674,151,844.0707071782978
842.2958992937982,164,1328.1354678872115
1076.2924085407942,209,1232.30545655926
1857.4755738874262,369,768.7636677147609
1922.8586104840197,386,788.3447739581264
1614.7067715056523,322,1195.9803938140324
2039.3286710488462,409,799.9148891160523
3323.172955572811,661,940.908610860014
2327.4668380217186,461,835.1661990753988
1363.3028286610468,275,1154.1900481741745
1241.724600474839,251,1110.1124742254658
1429.0390046929049,308,993.8004340604717
1315.1817576048072,268,1014.6524030151716
1437.6158509701943,284,1109.6511641254892
2021.6915781650266,422,1176.5141254101336
1316.0376669893787,265,1038.0075784975613
4867.102027725446,1000,1000.9061488089676
1928.0099763949681,398,1515.815157213167
4944.0339320401545,1000,1536.0436165361677
3654.534891446752,740,1076.091593737619
2161.5028454602825,461,1512.580163952734
4903.449147648064,1000,2670.496408934313
3104.5898515355275,606,1710.701158910993
5015.242660786546,1000,1939.3050901212707
5032.584769597141,1000,1881.4613776501646
5018.650289122949,1000,1736.2516986445085
4979.507649669772,1000,1417.638412829287
5046.347312099738,1000,1476.4727451119977
5060.209587936083,1000,3644.5562673057275
5016.624737871117,1000,3634.122230247793
4942.953311304692,1000,1568.8417007902347
4913.506403501605,1000,1671.8764114734392
5009.097545045813,1000,3468.120469733233
4821.976080698123,1000,4853.7516029323
5045.874179979631,1000,828.2577982991895
5072.855528059064,1000,2888.535810618747
1075.5721360877399,210,4444.29689792832
5041.327503739773,1000,2932.589912687771
4990.419045901281,1000,2507.17459342672
5094.481471057826,1000,4779.6809912409935
4962.3300364480065,1000,4547.505853320801
5030.549366751233,1000,1108.8077474704664
5050.016566066657,1000,2108.824209766831
4912.367828922839,1000,3939.510257272651
4927.597295502325,1000,4060.428116927868
4868.715965679452,1000,4616.142039980976
5069.659023452293,1000,3926.7955272855456
4987.198940542503,1000,1761.4089285430116
5029.500019798736,1000,4454.0558454376605
4996.709253343322,1000,707.4322505685176
5051.468015662658,1000,852.854563407993
5038.137019123492,1000,3873.626043211875
5022.194014427199,1000,5142.771202802982
5001.196472210198,1000,3059.475426721803
1626.214588451859,352,4921.12267758406
5045.772468343295,1000,1451.267295973646
4989.079454906894,1000,999.7146510986286
4912.7369271751695,1000,1210.674386014686
4976.185656880267,1000,4420.091993495325
4999.6457646315675,1000,2495.6594513578857
5023.906024761083,1000,4455.898674568221
5038.891175132541,1000,774.436958627578
5097.808321587362,1000,2765.9159161884163
5127.202770447172,1000,2295.8307651695545
4954.067332121037,1000,943.8195114607008
5019.5053069028945,1000,3798.1268976413426
5075.132712947389,1000,4658.184497299779
5065.259370342794,1000,3228.64924590588
5071.617880332679,1000,4800.4404359308455
4999.840312138214,1000,4166.238775931957
5019.262844797788,1000,4432.294386629634
5113.350354188299,1000,5212.2252292305475
5093.210788621644,1000,1116.1740074384602
5116.972630439619,1000,5239.308943902261
5093.890347072416,1000,3880.4949391828777
5039.233932104661,1000,2444.9502568417442
5105.682452829577,1000,1689.5331858157165
5087.776831738915,1000,4826.801590581471
5115.531127656704,1000,4588.6814669513005
4934.571227008036,1000,4083.3715271835235
5073.55453790424,1000,3650.1315936062847
5130.9880186163655,1000,4089.2223696753
5058.644089670738,1000,4143.106321373112
5167.497842763103,1000,4714.0480845263555
4751.457549606127,1000,5328.44696802581
5169.597709444388,1000,1418.9590429183304
5174.745781054514,1000,5249.4019739998175
5158.553917913496,1000,5322.148394906168
5128.365649206076,1000,4230.835959408059
5110.314507863258,1000,3350.11955304158
5090.288624393505,1000,4734.895706012951
4995.640449198975,1000,4795.265873998559
5049.041545423735,1000,4191.792995766351
5036.708716174169,1000,5203.653400140318
5065.31105697918,1000,4746.4671539616265
5043.692056686327,1000,2355.5316816269356
5061.895116829919,1000,4811.7215219719565
2809.07616664502,564,4917.254888288457
3969.0555758030778,787,5344.778934198029
5107.352135243207,1000,5163.4106492236115
5076.009375881009,1000,2770.0249413334277
5130.4348098624405,1000,3529.3895397893843
5143.9548829937485,1000,5324.335849607679
1192.7658043468964,234,2088.4674412798986
5114.061210748735,1000,4709.393183028737
5150.665224875605,1000,2590.6606766924388
5147.3914896246315,1000,1618.9940685992271
5081.519684805063,1000,4606.154842421247
5164.742604295207,1000,3598.8415887507667
3043.075684184699,628,4805.802428036229
3548.14468310856,685,3092.2602362221905
5145.914497655376,1000,1567.9424568481722
5196.884794734546,1000,4077.4230848278276
4300.513914947047,862,4553.691126073509
5073.734189868494,1000,4969.8784873663735
5232.926075719986,1000,5404.737573862305
5152.271380756801,1000,3175.992228535202
5184.430585692706,1000,5315.726133038529
5164.619459891039,1000,4804.211943010204
5210.889873834196,1000,4939.442146341354
5135.958414338018,1000,5389.484220350258
5237.495746578009,1000,5001.155338990185
5141.744601069954,1000,5407.018371160206
5187.008107942861,1000,4021.454546157294
5165.641442981422,1000,4967.434404403915
5211.572496276593,1000,5025.098478769254
1561.379242292822,316,2754.6380840605116
1514.3004453605713,300,4058.375293448635
5192.698153167847,1000,3405.3961354756443
3978.8529236186555,784,1499.5046483382698
1205.5334513644598,240,3656.2069608887637
5194.950350890969,1000,4911.69366708891
5227.501746187942,1000,5424.300397935152
