EpisodeReturn,EpisodeLength,EvalReturn,EvalReturnStd
142.98759904533011,30,209.47876095517526,10.405950903530458
420.1406172641631,91,398.0985838971818,29.64666269471596
457.9019914595395,89,415.2112886314327,53.63046705387813
358.09364696343056,69,387.2522338361327,35.987129488878445
385.9364489819931,73,440.4659568383465,106.26564215916781
406.55067238937306,79,442.6938679625764,88.02911552235481
375.4238128914083,78,515.5602116329044,139.71799342523198
585.0696586344334,133,433.1752542208831,73.00342778858324
394.1452282300756,91,533.3432817405408,80.6598059937248
632.4522636357714,122,638.4655344332197,167.05962905765352
571.8870266392746,115,516.4956277727094,93.77759344026846
544.6532169652138,106,707.234137683656,205.20026962151948
834.4060133984656,168,671.3005304278165,140.12922860231166
739.2739020727521,140,715.3764410156326,94.05477793342985
1016.9205323737376,200,1016.336988295646,480.94278608257673
837.2262760398702,174,741.2208316541336,144.31855585645195
995.1315665955996,191,822.8208898950263,223.48084708972019
683.4813546428231,132,1028.447485871629,124.08913880125573
1109.177972126694,219,843.8401563143694,195.17817036736923
1024.3680793830988,203,933.1344169909546,296.56415284582704
1216.8424226765385,235,969.6514231246792,229.96539223608852
1743.0011300887484,344,1017.8524086837357,293.81990581558534
685.9500187345197,134,1036.346679817179,465.83121109761953
1001.7697524738599,211,1262.2775671092513,523.1656818280455
1293.4637316242752,249,805.0736460315364,176.5170390692531
2712.2063329571074,548,1280.997026332347,681.5330989430994
2460.9483448257943,474,2223.7205132693657,1363.2948368265752
3860.4529839374777,757,1916.2015929662437,760.9614555288758
4021.8351067700846,789,1374.772659157216,726.1522609992556
1582.9677396924696,325,1748.5273706752935,1538.5422458301261
2186.914253164282,444,1777.4579191458674,977.2687028135049
1724.2897226709308,341,3033.8417831324646,1093.5035554746703
1511.7998916700144,305,2789.7648319314003,1340.2318891343705
2954.7428704195563,577,2706.1473594322333,1418.3636493314552
5183.150347569966,1000,4031.3964502636613,1159.5955933074517
1960.5518572907247,369,3644.173473253293,1346.278511684269
3054.874935222337,590,1865.9574979237696,944.4638213038127
812.555731581327,163,1536.1836395162677,1076.549289400848
3634.2524411242953,696,1682.309955279134,739.4883919871597
4475.792678997871,874,2531.716178380858,853.743580663871
5162.15596459632,1000,4715.895803132102,1207.8096437963923
5138.4375988606635,1000,5158.511432373556,55.95860823109093
5181.096363375788,1000,5170.727002660144,78.56824578836661
5260.894839050454,1000,4466.1582243793755,1124.9411581781471
5200.117133251853,1000,4936.467450868217,856.0830959442497
5130.215428559047,1000,2293.7049412637666,1398.497476468322
5164.999330005041,1000,1086.9069923220873,1362.2966857330362
2181.2471663933347,416,3950.6338924671595,1849.2778168449336
1042.754066885801,199,3570.198504544096,1796.6297609477285
5117.16464941493,1000,4072.1661122516807,1417.5486744815412
5114.394309760763,1000,4690.526773900876,1198.5580402227738
5145.262201837768,1000,5002.484910044155,619.8713642167404
5147.765979202993,1000,5052.841152316859,479.7952373813415
4402.201766962476,875,4683.970081480196,1246.754272025709
5137.244049592907,1000,4144.861061895708,1375.8201051140265
5132.313649873109,1000,4738.312056619336,1261.3278540525682
906.423405729026,173,5283.039160487795,21.288587769087147
5252.429600343916,1000,5378.683919837841,23.564105037242186
5200.688242859495,1000,4808.923616929394,844.518963777093
5199.678888977698,1000,5169.687338424669,20.52736890762973
5123.806521773651,1000,5355.41572888473,18.592470577399528
5198.512804999034,1000,5195.0696118842825,22.965506791870858
5186.752333934837,1000,5111.0617008176,28.53252389573097
5228.447227918807,1000,4719.008427261882,1408.776503422371
5163.23362731318,1000,5007.159546051137,600.615955512068
1067.2787438856692,210,5217.921050971456,23.061509874779926
5248.524668293015,1000,5190.9755374127735,13.670774931144715
5218.252068189137,1000,5167.586343802769,35.18355394942367
5258.878282924163,1000,5219.360924123807,26.108771514307858
1804.8122585184851,338,5312.701636153499,29.32298539140677
5213.743593274316,1000,5131.468079123285,34.427555175440816
5281.731992452146,1000,5256.547258165765,19.363170571887945
5195.92160080816,1000,5315.382771647167,48.660529710207044
5155.818902210492,1000,5362.374298199424,25.55481412556064
5266.680784117416,1000,5271.070165313273,38.966104962900964
5100.62680043393,1000,5082.616098018132,43.59582634272939
5192.267493110511,1000,5121.859217161979,49.11118781876208
5126.75603632477,1000,5155.621897106078,50.350093898313794
5177.379681375285,1000,5218.094939256995,32.42267152639744
5164.894827587672,1000,5334.151565012815,30.353224069822804
5273.23803616926,1000,5401.8302063924075,25.688468530599284
5234.539860981445,1000,5251.787249784941,19.918280852703866
5228.133197414073,1000,4576.328276895765,1273.4822730131095
