EpisodeReturn,EpisodeLength,EvalReturn
93.7678309392372,21,178.2175995212603
371.80697919823444,75,302.33803579397295
371.1475884461399,83,293.6563929403029
736.0629578696984,146,519.0309667424797
351.22758714065674,69,443.9704519288678
598.3808894014951,118,482.11552312715264
558.9339703173637,120,589.7753174892405
422.0820645743086,99,570.9250034398538
551.3570451265361,113,671.3221067280108
673.6135261522496,146,615.055703812997
492.5445000713604,96,610.2099421297061
590.9867827274174,111,647.8392581238976
656.2763874744675,130,595.7686660706181
687.5227303631035,133,762.586302150438
540.1177815119347,122,571.8777611653819
1659.9711663754915,331,702.5295847020445
816.9661757610097,163,669.5764949802924
884.0110334183449,188,746.5482756129884
1085.4913823055597,227,772.5693832213906
1106.981633215168,224,906.4347965870496
1748.140466309441,348,835.4529178918534
1275.0053222538793,250,1018.8710546498727
853.9150837269016,169,1013.0679855405336
1120.4598334525674,240,755.4464383806707
1568.505990185819,317,1168.757070343492
1841.9465745888401,359,1296.5695041200227
518.6618557328358,119,1301.7052237629146
3911.5132269146566,774,1560.7195041474447
5013.077383502315,1000,1675.1410735887434
5048.869629435875,1000,1582.7871070864328
5065.952768190932,1000,1772.482189270148
2799.8348946144297,569,1637.1192666503102
2192.7870224703825,456,1200.3770863006962
3318.4977138867384,668,2697.015846872189
3569.006953245469,702,5047.700680177504
2256.3730944567224,446,1911.6765683597805
1933.2965906123,383,1402.7899833860663
5003.084943996244,1000,2623.425032658547
5066.500980121889,1000,4499.073268644077
3259.5859308699632,648,3448.1480112488534
5022.346826158521,1000,3921.5659448332253
5062.977308854468,1000,3401.031653360073
5019.13023942112,1000,1897.5834499937987
4942.50980128271,1000,3984.855730468662
5026.58427799305,1000,3931.5352781858287
5055.038779155515,1000,1788.3028557396915
5074.590040559531,1000,4298.894048361803
5121.464747915969,1000,4944.743669312345
5134.256375043088,1000,5127.8448852781685
5092.496650457289,1000,4804.219724965657
5043.84276021952,1000,5050.741727432732
5156.308682757977,1000,3982.317656548057
5179.532973317086,1000,5243.36122208217
5152.890283206381,1000,4426.893053686474
4300.654331358515,829,3495.1837322075494
5152.449133606807,1000,2751.7489451785927
5163.299677310485,1000,4538.730007150894
5155.195881325235,1000,3927.6495702562474
5150.838972725457,1000,5127.210318939414
5163.177868712681,1000,3799.481308499672
5175.772945280224,1000,5140.199287873093
5187.497469575689,1000,5083.666534886432
5124.641150356607,1000,4991.2690533376535
5176.651775274557,1000,4171.458715204607
5120.076197114265,1000,5269.273654018558
5150.064407405764,1000,5368.8926028240585
5128.566090566857,1000,4066.2524886524407
5156.067559291285,1000,5117.502503042688
2788.3131374658265,562,5396.684421407937
5236.3603870375255,1000,4587.828609097195
5200.064775254472,1000,5390.238408266463
5247.011553259519,1000,5023.919907489217
5140.1008239439025,1000,5283.622748845364
