EpisodeReturn,EpisodeLength,EvalReturn,EvalReturnStd
148.8803103341437,31,170.2024848827088,2.887075277308827
279.514059958924,55,365.64165429591833,53.130616959976166
522.4629354597525,103,380.75387923635947,55.134114052081976
657.5427999750455,135,408.263617288565,93.90087938722831
328.6556900236805,72,345.8936040314894,75.72571103936977
308.2664386879459,73,349.9463782855029,61.65410360557088
363.6527817108731,76,446.70487487985076,120.09971392192662
400.15494774865203,78,566.7805242691217,80.20576934741484
442.1430418954668,92,558.783758545824,112.48714065590272
578.903057182942,116,704.4154061853617,136.45328335107925
608.4358092376322,129,701.9213600169571,186.37562167285452
604.7214452508996,140,707.4484672277987,172.21139614208346
407.5672256237786,92,743.3754654414998,254.88320315215367
808.1779794541565,161,847.1595776044953,207.06743778167842
961.74456769005,197,605.1840873438025,145.823220557364
1015.0863663202924,204,1041.0386669973384,207.77115537287276
649.4152714374966,127,722.9996355221363,334.1535141061204
1506.969057191381,307,1062.2793261510735,308.42862750763715
840.714154237866,164,1076.276886827804,257.77702470936686
989.1435184212999,191,856.2874051640817,183.04263456238994
1012.2082338683621,217,1124.5672078626058,281.84661825420886
1189.4511272545392,237,948.9720500774995,313.59323162957514
1032.5945116766486,206,960.9071312361291,259.2309502620245
1550.67505020221,304,1044.6021545495505,269.2265189298746
977.9338002023924,223,1097.61727497224,469.68896482604714
1547.7453546250133,308,2702.6007893327246,1191.4451752985424
2214.8342658415972,442,1344.3641686820617,398.53837210657883
1451.1899077441503,302,1420.3437770205524,498.38865713393085
951.9753780975361,187,1609.4103027186763,458.13558223564434
974.6575642489792,185,1453.6420541254706,618.9223016529774
996.1323124793194,200,1700.6602957971656,1363.0408100773427
1472.8759704572888,284,1624.7308882928203,629.5745461352511
924.9568793040874,178,1718.989337634034,1091.6113259670499
1326.9217873018217,254,1861.1470230304735,738.7936931971686
1167.4760323049964,237,3433.2889462673293,1546.9725450656363
5187.815842866668,1000,2284.46586982068,1037.1377604265983
2912.532431469294,574,4047.9790686110005,1224.2226802440694
627.5241095763976,137,3901.517670299602,1430.8985865689137
5073.85245488217,1000,3581.2865091404005,1134.4338341060154
5062.920907342411,1000,4366.26466321652,1319.307635111125
5120.5286771902,1000,4909.382310444547,589.9411120748023
2456.733871382252,464,3445.2822332434503,1635.6902602695645
5167.678613740852,1000,5164.650006392464,24.81658745649093
5158.876428859703,1000,3650.4535697506317,1354.496969352279
5068.364605509042,1000,4427.088862023865,1437.5460234606187
5129.423710551986,1000,3856.682126690219,1509.2989669518925
5091.866326484822,1000,4639.330252673352,935.6596567161707
5090.172305048943,1000,4983.135540859041,333.0233375659833
5160.4362519226825,1000,4904.585191695707,886.9724686689821
4077.854211705597,800,5126.758367500616,15.109008866909248
4304.838807565325,852,4654.041271405608,1046.5479160580883
5023.624305313918,1000,4560.16568820424,1051.7977629279153
5162.352140690721,1000,4617.416601096729,1144.8066247196518
5152.937084747809,1000,5296.577355505258,11.219710519928539
5137.212899679241,1000,5121.051728529391,20.808712555629562
5165.881451252063,1000,5254.176078128474,16.71769756261557
5150.277997118788,1000,5209.682261375461,36.866362777195754
5156.466985221576,1000,5237.164171009065,14.778050428386761
5120.517082173152,1000,4254.287616945676,1415.8731741815025
5133.739109778119,1000,4623.320771084573,1131.8916751086263
5043.184978299328,1000,5144.698104407846,27.354351612590555
5070.762163643968,1000,3871.520152062728,1838.6533809950718
5003.884284149963,1000,5156.436415154029,16.42810686688668
5161.407538771163,1000,4428.82090836525,1053.7759359839072
5160.779739688388,1000,3888.3338989167414,1660.6922696990005
5173.517378098118,1000,5200.035239227754,16.248272062102565
5091.518357962372,1000,4514.116792444568,1331.0714638146242
5080.091954021184,1000,5061.991804359935,357.57639409638085
5180.166390759228,1000,4881.311940283479,1078.1381692377818
5204.075899883126,1000,4671.815977595308,1147.9781333369538
1261.1359241919242,238,4844.354347136247,1120.8630574011033
5117.872119571806,1000,5122.285092778793,47.28197282100932
5191.643791410758,1000,4275.627665917693,1713.3944707207822
5103.406903821927,1000,4791.9013509793185,1219.9104675257188
5118.821437387526,1000,4756.9055528672925,1159.721279026102
4936.046762853862,1000,4964.649582433408,779.6214514214936
5103.074742213787,1000,4554.640299454352,1273.472457003698
1561.390789763094,304,5150.4101883787935,26.796295142936682
5165.686229548195,1000,5133.506066264953,61.44258296041882
5106.0601545207455,1000,5229.597374558243,13.706487997726308
5189.114430602505,1000,4111.293559848102,1477.5137417489634
5064.208027414216,1000,5096.774004148262,9.445022013955542
5070.985893757815,1000,4842.4982002308625,1011.4739222704663
5130.8480029572665,1000,5145.766570653327,21.297668947301528
5122.806621267896,1000,4275.249056021596,1369.346063694755
5169.188353829677,1000,4676.565658193273,1184.41224546225
5116.399134287685,1000,4994.0211467585505,419.2511165506259
5135.705691254981,1000,5200.419361210628,22.44629914175887
5129.624797292023,1000,5318.896310702917,21.207768990491964
5144.970316651516,1000,4952.8993809856565,614.6364194767148
5211.191803061882,1000,2885.228939391852,1543.1034840778416
5110.042957585851,1000,5263.385681248656,8.617519774540309
5078.96581188503,1000,5159.281759127039,24.11934482394495
5130.335277703134,981,5222.45109801926,10.26647056888064
5074.432060248161,1000,4671.05656529029,1143.6450347724963
5282.0458826066815,1000,4228.6224301121465,1428.7079611398785
5186.114426384743,1000,4885.602616365388,1065.7687309378498
5073.774546111101,1000,4605.603713479029,1294.9565455730633
5168.8548612360255,1000,5248.370087071048,14.862184412573345
5028.226080087657,1000,4911.211110100773,890.3716641116583
5085.507126918985,1000,5161.255518100434,208.09267138971163
5190.628445793242,1000,5218.569632874381,14.30901413568588
5113.122719818478,1000,5305.692165851307,30.019481020920676
4995.925772887934,1000,4834.542673988092,780.8058988300137
5209.528956253627,1000,4853.371279580483,1104.9804630171138
5106.61173271741,1000,5131.858161033794,26.572427388470246
5088.581641820733,1000,4841.5765896920675,793.4677032915695
5119.146669267388,1000,5098.9115296741,23.3098608314667
5007.900359676543,1000,4733.208970622545,1273.7844256380256
5134.215553399866,1000,5146.2079716622375,17.130978730851712
5035.721737862236,1000,4962.421387543665,36.034395858184276
4969.220490455574,1000,4552.089236839833,1257.7169801183388
5035.542065254347,1000,4235.406903340539,1348.9669105866121
5220.455146191936,1000,5223.421309599725,26.83406420165789
5026.8975711598505,1000,4717.4313844514845,1338.7985356400402
5050.476259055733,1000,4895.413476663906,597.488336247478
4535.824958985778,908,4468.797639674367,807.0315728353693
5141.676620216218,1000,3865.9321792486735,1614.8394035596223
5022.940768584748,1000,5177.795697432218,32.54401996214725
5186.792742851219,1000,4302.663286697147,1245.1443297713568
5006.142465075395,1000,3308.203776321721,1604.274289843633
4729.291963156147,998,4261.448256472382,1593.0778949365763
4963.60403552954,1000,3071.4296191898875,1463.3882940237213
5166.992801128078,1000,4953.854297523407,736.5229345497557
5036.530097566964,1000,4382.295261337612,1445.6527693898602
5077.555255973166,1000,3227.882280395852,1491.2291168751653
2743.349370057185,530,5043.536287198189,12.768442884386815
5136.633703859299,1000,1611.569126110807,718.7992174100114
5144.874408740792,1000,5153.7868344387625,42.2091839125806
5099.892032984934,1000,4437.513986270826,1371.5827904792266
5044.687224926528,1000,4729.072040579893,527.2907782569699
5208.56414641798,1000,4765.576898997476,1008.7743657312743
5199.198154234401,1000,4430.951043196255,1384.6696062012643
5221.2602699822155,1000,4860.232701348376,910.6628474153462
5216.738383409714,1000,4699.395256113449,1301.8360758018357
5007.578891256524,1000,5123.731523676319,74.16507088327587
5236.4522614086445,1000,4813.790912077166,1179.7439609787536
5104.135790043204,1000,4123.396418343794,1585.2534718555924
5233.830921350895,1000,4419.573624497732,1472.816232868569
5193.384805810807,1000,5218.82275384924,32.429671504479174
1587.7489184269632,317,3975.615844298155,1547.816399906119
5033.1578286704325,1000,3890.619671161841,1461.2951448668327
3668.2550208522152,715,5102.33935396963,38.982055120767804
2430.951687206418,474,3493.118787873876,1661.390461373567
5188.323387619852,1000,5199.926499998945,156.26298161085472
5241.369984358469,1000,4657.329956904063,1090.782501622226
5176.878923411879,1000,4332.2812646342945,1201.6441709158164
939.6775199620351,176,5130.3198540643525,413.06037135285936
2211.216557077385,421,4125.149812789832,1537.289680280462
591.3077698068346,122,4194.334169116933,1704.3349039644063
